Description,Account #,Cost,Tran Note
Accident cost/Damage,5601010,
Advertising/Newspaper ad media,5301015,
Advertising/signs New Hire,5301045,
Airbags New and Related Expenses,5201009,
Airbags Rework by 3rd Party,5302124,
Airfare Travel Expense,5112004,
APLI / Part,4500012,
ASE,5111001,
ASE Training,5108001,
Associate Awards and recognition,5111005,Flowers
Associate Relations Cafeteria,5111007,
Associate wages,5111001,
Auto Rental/Travel,5112013,
Awards Recognition gifts mail coke cards,5111003,Hardware
Background Screening/Fingerprinting/alcohol test,5110903,
Backhual income,4512001,Bill repair
Baler Wrap,2510084,
Boot Allowances/Safety vests,5201025,
Breakpack Boxes New,2003900,
Breakpack Boxes Rework by 3rd Party,5302120,
Call Trucking Dues,5111001,
Car rentals & fuel for rental cars,5112013,
Celebration/Party/Cook Outs,5112005,
Chains,4508005,
Changes for workplace injuries to associates,5601030,
Cleaning & Janitorial/ Restroom supplies,5401067,
CMN,2302010,
Coffee,5111007,
Condats,4507010,
Company picnics and associated production,5112005,
Contributions,5801060,
Dedicated Fuel,4506048,
Dedicated Mileage,4507001,
Distribution Support - Regional,4507014,
Drug Screen,5109002,
Drug Subscriptions,5111001,
Equipment Rental,5402010,
Fuel Baggage Visa Passport,5112015,Off-site/outside sq.c.
Filters and lubricants,4509013,
